Nummer;Spalte;Intervall;Wahrscheinlichkeit_Mittel
33.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
33.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
33.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
33.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
33.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
33.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
33.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
33.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
33.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
33.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
33.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
33.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
33.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
33.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
33.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
33.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
33.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
33.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
33.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
33.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
